epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,128536,1.38068,1.40041,1.34099,0.54759,0.43005,0.4511,0.30944,1.19388,1.25759,1.18842,0.00208,0.00208,0.00208
162,129335,1.38283,1.39813,1.34056,0.54926,0.43108,0.45144,0.30969,1.19375,1.25763,1.18823,0.0020305,0.0020305,0.0020305
163,130137,1.38059,1.39624,1.33988,0.54925,0.43216,0.45186,0.30993,1.19367,1.2571,1.18801,0.001981,0.001981,0.001981
164,130934,1.3776,1.39422,1.33837,0.55513,0.43039,0.45212,0.30999,1.19345,1.25584,1.18764,0.0019315,0.0019315,0.0019315
165,131731,1.379,1.39473,1.33877,0.55533,0.42979,0.45265,0.31022,1.19317,1.25508,1.1871,0.001882,0.001882,0.001882
166,132532,1.37651,1.39144,1.33713,0.55825,0.42913,0.45288,0.31033,1.19303,1.25489,1.18683,0.0018325,0.0018325,0.0018325
167,133324,1.3753,1.3886,1.335,0.55777,0.4291,0.45299,0.31046,1.19281,1.25466,1.18652,0.001783,0.001783,0.001783
168,134117,1.37342,1.38765,1.33577,0.55882,0.42879,0.45339,0.31108,1.19259,1.25419,1.18629,0.0017335,0.0017335,0.0017335
169,134910,1.37353,1.38351,1.33477,0.5592,0.42899,0.45357,0.31117,1.19259,1.25361,1.18622,0.001684,0.001684,0.001684
170,135709,1.37152,1.38171,1.33224,0.55548,0.43068,0.45417,0.31128,1.19259,1.25317,1.1859,0.0016345,0.0016345,0.0016345
171,136507,1.37015,1.38004,1.33152,0.55632,0.43108,0.45473,0.31182,1.19247,1.25205,1.18579,0.001585,0.001585,0.001585
172,137301,1.37189,1.38114,1.33268,0.55699,0.43147,0.45522,0.31238,1.19225,1.25127,1.18552,0.0015355,0.0015355,0.0015355
173,138100,1.3691,1.37943,1.33232,0.55972,0.43117,0.45583,0.31276,1.19196,1.25059,1.18527,0.001486,0.001486,0.001486
174,138897,1.369,1.37578,1.33127,0.55817,0.43125,0.45615,0.31302,1.19168,1.24981,1.18499,0.0014365,0.0014365,0.0014365
175,139690,1.36444,1.37252,1.32906,0.56268,0.43108,0.45621,0.31336,1.19146,1.24922,1.18456,0.001387,0.001387,0.001387
176,140488,1.36601,1.36954,1.32764,0.56546,0.43079,0.45666,0.31317,1.1911,1.24877,1.18406,0.0013375,0.0013375,0.0013375
177,141284,1.36447,1.36948,1.327,0.5674,0.43193,0.45703,0.31322,1.19055,1.24816,1.18357,0.001288,0.001288,0.001288
178,142082,1.36064,1.36557,1.32596,0.56803,0.4311,0.45728,0.3136,1.19022,1.24774,1.18326,0.0012385,0.0012385,0.0012385
179,142878,1.35887,1.36289,1.32416,0.56889,0.43194,0.45747,0.31407,1.18989,1.24718,1.18287,0.001189,0.001189,0.001189
180,143676,1.35802,1.3627,1.32321,0.57055,0.4312,0.45758,0.31419,1.18962,1.2469,1.18265,0.0011395,0.0011395,0.0011395
181,144473,1.35554,1.35652,1.3214,0.56659,0.43368,0.45833,0.31419,1.18928,1.24656,1.18217,0.00109,0.00109,0.00109
182,145271,1.35575,1.35507,1.32097,0.56413,0.43413,0.45792,0.31419,1.18905,1.24638,1.18179,0.0010405,0.0010405,0.0010405
183,146068,1.35495,1.35375,1.32045,0.56916,0.43302,0.4585,0.31453,1.18893,1.2461,1.18147,0.000991,0.000991,0.000991
184,146865,1.35375,1.3516,1.32006,0.57145,0.43187,0.45854,0.3149,1.18887,1.24593,1.18116,0.0009415,0.0009415,0.0009415
